IDPlots,ID,DBH_mm,Height_m,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
38,5,46,8.7,6,Medium,BEPE,4.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0016619063999999998,no,yes,1.5260563034950492,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,6,79,11.4,6,Medium,BEPE,7.9,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.004901681400000001,no,yes,2.066862759472976,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,8,17,NA,6,Medium,BEPE,1.7,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,2.2698059999999996e-4,no,yes,0.5306282510621704,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,12,88,NA,6,Medium,BEPE,8.8,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.006082137600000001,no,yes,2.174751721484161,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,15,50,NA,6,Medium,BEPE,5,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0019635,no,yes,1.6094379124341003,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,9,45,NA,6,Medium,BEPE,4.5,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0015904349999999999,no,yes,1.5040773967762742,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,7,81,NA,6,Medium,BEPE,8.1,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0051530094,no,yes,2.0918640616783932,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,20,46,NA,6,Medium,BEPE,4.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0016619063999999998,no,yes,1.5260563034950492,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,21,65,NA,6,Medium,BEPE,6.5,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0033183149999999996,no,yes,1.8718021769015913,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,13,24,NA,6,Medium,BEPE,2.4,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,4.5239039999999997e-4,no,yes,0.8754687373538999,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,1,220,16.3,9,Medium,BEPE,22,12.65970552,49,0.2,5094.11979045847,125,yes,no,yes,no,0.03801336,no,yes,3.091042453358316,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,16,32,NA,9,Medium,BEPE,3.2,12.65970552,49,0.2,5094.11979045847,125,yes,no,yes,no,8.042496000000001e-4,no,yes,1.1631508098056809,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,11,84,NA,6,Medium,BEPE,8.4,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0055417824000000004,no,yes,2.128231705849268,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,19,34,NA,6,Medium,BEPE,3.4,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,9.079223999999998e-4,no,yes,1.2237754316221157,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,17,46,NA,6,Medium,BEPE,4.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0016619063999999998,no,yes,1.5260563034950492,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,10,73,10.6,6,Medium,BEPE,7.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0041853966,no,yes,1.9878743481543455,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,22,53,NA,16,Medium,POTR,5.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0022061886,no,no,1.667706820558076,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,18,46,NA,6,Medium,BEPE,4.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0016619063999999998,no,yes,1.5260563034950492,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,28,6,2.4,6,Medium,BEPE,0.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,2.8274399999999998e-5,no,yes,-0.5108256237659907,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,36,30,NA,6,Medium,BEPE,3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,7.0686e-4,no,yes,1.0986122886681098,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,23,43,NA,6,Medium,BEPE,4.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0014522045999999997,no,yes,1.4586150226995167,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,24,30,NA,6,Medium,BEPE,3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,7.0686e-4,no,yes,1.0986122886681098,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,35,53,NA,6,Medium,BEPE,5.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0022061886,no,yes,1.667706820558076,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,29,118,13.3,6,Medium,BEPE,11.8,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.010935909600000002,no,yes,2.468099531471619,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,42,3,NA,6,Medium,BEPE,0.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,7.0685999999999995e-6,no,yes,-1.2039728043259361,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,44,26,NA,9,Medium,BEPE,2.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,yes,no,5.309304e-4,no,yes,0.9555114450274363,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,25,10,3.1,6,Medium,BEPE,1,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,7.854e-5,no,yes,0,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,45,9,1.8,6,Medium,BEPE,0.9,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,6.36174e-5,no,yes,-0.10536051565782628,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,31,47,7.3,6,Medium,BEPE,4.7,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0017349486000000003,no,yes,1.547562508716013,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,41,38,NA,16,Medium,POTR,3.8,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0011341175999999998,no,no,1.33500106673234,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,40,28,NA,6,Medium,BEPE,2.8,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,6.157535999999999e-4,no,yes,1.0296194171811581,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,26,6,2.6,6,Medium,BEPE,0.6,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,2.8274399999999998e-5,no,yes,-0.5108256237659907,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,34,43,NA,6,Medium,BEPE,4.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0014522045999999997,no,yes,1.4586150226995167,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,30,25,NA,6,Medium,BEPE,2.5,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,4.90875e-4,no,yes,0.9162907318741551,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,32,33,NA,6,Medium,BEPE,3.3,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,8.553005999999998e-4,no,yes,1.1939224684724346,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,27,43,NA,17,Medium,POTR,4.3,12.65970552,49,0.2,5094.11979045847,125,no,no,no,no,0.0014522045999999997,no,no,1.4586150226995167,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
