IDPlots,ID,DBH_mm,Height_m,heigh_class,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
111,9,187,9.9,9-9.9,1,Medium,PISY,18.7,24.15434868,127,1,3479.66328879537,120,yes,no,no,no,0.0274646526,yes,no,2.2925347571405443,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,8,28,2.4,2-2.9,5,Medium,PISY,2.8,24.15434868,127,1,3479.66328879537,120,yes,yes,no,no,6.157536e-4,yes,no,0.8754687373538999,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,7,93,4.7,4-4.9,1,Medium,PISY,9.3,24.15434868,127,1,3479.66328879537,120,yes,no,no,no,0.0067929246,yes,no,1.547562508716013,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,5,285,12.7,12-12.9,1,Medium,PISY,28.5,24.15434868,127,1,3479.66328879537,120,yes,no,no,no,0.063794115,yes,no,2.5416019934645457,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,6,91,4.7,4-4.9,5,Medium,PISY,9.1,24.15434868,127,1,3479.66328879537,120,yes,yes,no,no,0.0065038974,yes,no,1.547562508716013,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,4,148,7.8,7-7.9,3,Medium,PISY,14.8,24.15434868,127,1,3479.66328879537,120,yes,no,no,yes,0.0172034016,yes,no,2.0541237336955462,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,1,231,12,12-12.9,5,Medium,PISY,23.1,24.15434868,127,1,3479.66328879537,120,yes,yes,no,no,0.0419097294,yes,no,2.4849066497880004,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,2,189,9.7,9-9.9,1,Medium,PISY,18.9,24.15434868,127,1,3479.66328879537,120,yes,no,no,no,0.0280552734,yes,no,2.272125885509337,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,3,152,9.3,9-9.9,3,Medium,PISY,15.2,24.15434868,127,1,3479.66328879537,120,yes,no,no,yes,0.0181458816,yes,no,2.2300144001592104,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
123,1,222,11.6,11-11.9,5,Medium,PISY,22.2,22.96399644,12,1,2920.10260232369,135,yes,yes,no,no,0.0387076536,yes,no,2.451005098112319,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,2,204,10,10-10.9,5,Medium,PISY,20.4,22.96399644,12,1,2920.10260232369,135,yes,yes,no,no,0.0326852064,yes,no,2.302585092994046,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,3,198,10,10-10.9,5,Medium,PISY,19.8,22.96399644,12,1,2920.10260232369,135,yes,yes,no,no,0.0307908216,yes,no,2.302585092994046,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,4,84,6.2,6-6.9,5,Medium,PISY,8.4,22.96399644,12,1,2920.10260232369,135,yes,yes,no,no,0.0055417824,yes,no,1.824549292051046,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,5,24,2.6,2-2.9,4,Medium,PISY,2.4,22.96399644,12,1,2920.10260232369,135,yes,no,yes,no,4.523904e-4,yes,no,0.9555114450274363,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,10,91,6.4,6-6.9,5,Medium,PISY,9.1,22.96399644,12,1,2920.10260232369,135,yes,yes,no,no,0.0065038974,yes,no,1.8562979903656263,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,9,192,9.5,9-9.9,5,Medium,PISY,19.2,22.96399644,12,1,2920.10260232369,135,yes,yes,no,no,0.0289529856,yes,no,2.2512917986064953,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,8,330,12.5,12-12.9,1,Medium,PISY,33,22.96399644,12,1,2920.10260232369,135,yes,no,no,no,0.08553006,yes,no,2.5257286443082556,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,7,11,2.3,2-2.9,1,Medium,PISY,1.1,22.96399644,12,1,2920.10260232369,135,yes,no,no,no,9.50334e-5,yes,no,0.8329091229351039,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
123,6,22,3,3-3.9,1,Medium,PISY,2.2,22.96399644,12,1,2920.10260232369,135,yes,no,no,no,3.801336e-4,yes,no,1.0986122886681098,-0.9167224285967757,0.8554654556085705,1.9954704507251106,0.0514772205738906
189,1,78,8.4,8-8.9,10,Medium,BEPE,7.8,0.47783736,22,0.3,2770.60000931376,135,yes,yes,no,no,0.0047783736,no,yes,2.128231705849268,-0.8116100292184322,-0.815652448830291,1.9954704507251106,-0.07682298370752168
190,2,49,2.1,2-2.9,5,Medium,PISY,4.9,4.52539626,74,0.3,3000.68533107346,128,yes,yes,no,no,0.0018857454,yes,no,0.7419373447293773,-0.26502555245104564,-0.815652448830291,0.32425292922620397,0.12063174393030102
190,3,54,1.5,1.3-1.9,2,Medium,PISY,5.4,4.52539626,74,0.3,3000.68533107346,128,no,no,no,no,0.0022902264,yes,no,0.4054651081081644,-0.26502555245104564,-0.815652448830291,0.32425292922620397,0.12063174393030102
190,1,47,1.4,1.3-1.9,5,Medium,PISY,4.7,4.52539626,74,0.3,3000.68533107346,128,yes,yes,no,no,0.0017349486,yes,no,0.3364722366212129,-0.26502555245104564,-0.815652448830291,0.32425292922620397,0.12063174393030102
190,4,173,6.7,6-6.9,1,Medium,PISY,17.3,4.52539626,74,0.3,3000.68533107346,128,yes,no,no,no,0.0235062366,yes,no,1.9021075263969205,-0.26502555245104564,-0.815652448830291,0.32425292922620397,0.12063174393030102
190,5,142,5.1,5-5.9,5,Medium,PISY,14.2,4.52539626,74,0.3,3000.68533107346,128,yes,yes,no,no,0.0158368056,yes,no,1.62924053973028,-0.26502555245104564,-0.815652448830291,0.32425292922620397,0.12063174393030102
204,8,61,4.5,4-4.9,1,Medium,PISY,6.1,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,0.0029224734,yes,no,1.5040773967762742,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,11,10,1.5,1.3-1.9,10,Medium,BEPE,1,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,7.854e-5,no,yes,0.4054651081081644,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,10,26,4.5,4-4.9,4,Medium,PISY,2.6,3.36693126,276,0.2,2579.77877304127,131,yes,no,yes,no,5.309304e-4,yes,no,1.5040773967762742,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,9,20,2.5,2-2.9,2,Medium,PISY,2,3.36693126,276,0.2,2579.77877304127,131,no,no,no,no,3.1416e-4,yes,no,0.9162907318741551,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,17,32,2.5,2-2.9,5,Medium,PISY,3.2,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,8.042496e-4,yes,no,0.9162907318741551,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,6,20,3,3-3.9,6,Medium,BEPE,2,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,3.1416e-4,no,yes,1.0986122886681098,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,12,52,1.5,1.3-1.9,2,Medium,PISY,5.2,3.36693126,276,0.2,2579.77877304127,131,no,no,no,no,0.0021237216,yes,no,0.4054651081081644,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,16,12,2.2,2-2.9,5,Medium,PISY,1.2,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,1.130976e-4,yes,no,0.7884573603642703,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,13,87,2.8,2-2.9,1,Medium,PISY,8.7,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,0.0059446926,yes,no,1.0296194171811581,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,15,60,2.7,2-2.9,5,Medium,PISY,6,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,0.00282744,yes,no,0.9932517730102834,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,5,50,2.6,2-2.9,5,Medium,PISY,5,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,0.0019635,yes,no,0.9555114450274363,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,14,80,1.8,1.3-1.9,2,Medium,PISY,8,3.36693126,276,0.2,2579.77877304127,131,no,no,no,no,0.00502656,yes,no,0.5877866649021191,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,7,80,3.3,3-3.9,5,Medium,PISY,8,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,0.00502656,yes,no,1.1939224684724346,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,18,15,1.6,1.3-1.9,1,Medium,PISY,1.5,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,1.76715e-4,yes,no,0.47000362924573563,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,3,50,2.6,2-2.9,5,Medium,PISY,5,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,0.0019635,yes,no,0.9555114450274363,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,4,30,2.5,2-2.9,1,Medium,PISY,3,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,7.0686e-4,yes,no,0.9162907318741551,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,19,10,2.2,2-2.9,1,Medium,PISY,1,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,7.854e-5,yes,no,0.7884573603642703,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,2,33,2.8,2-2.9,4,Medium,PISY,3.3,3.36693126,276,0.2,2579.77877304127,131,yes,no,yes,no,8.553006e-4,yes,no,1.0296194171811581,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,1,15,1.6,1.3-1.9,1,Medium,PISY,1.5,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,1.76715e-4,yes,no,0.47000362924573563,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,20,44,2.6,2-2.9,5,Medium,PISY,4.4,3.36693126,276,0.2,2579.77877304127,131,yes,yes,no,no,0.0015205344,yes,no,0.9555114450274363,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
204,21,16,3.1,3-3.9,1,Medium,PISY,1.6,3.36693126,276,0.2,2579.77877304127,131,yes,no,no,no,2.010624e-4,yes,no,1.1314021114911006,1.8582449149914941,-1.0543835780358426,1.0404890098685926,-0.24058204033716793
205,7,215,6.1,6-6.9,5,Medium,PISY,21.5,7.07983122,228,0.2,2825.45281744802,132,yes,yes,no,no,0.036305115,yes,no,1.8082887711792655,1.353705397975445,-1.0543835780358426,1.279234370082722,-0.029749375502162667
205,6,40,2.7,2-2.9,5,Medium,PISY,4,7.07983122,228,0.2,2825.45281744802,132,yes,yes,no,no,0.00125664,yes,no,0.9932517730102834,1.353705397975445,-1.0543835780358426,1.279234370082722,-0.029749375502162667
205,5,32,2,2-2.9,5,Medium,PISY,3.2,7.07983122,228,0.2,2825.45281744802,132,yes,yes,no,no,8.042496e-4,yes,no,0.6931471805599453,1.353705397975445,-1.0543835780358426,1.279234370082722,-0.029749375502162667
